date,lme_close,lme_open,lme_high,lme_low,lme_volume,lme_change_pct,usdcny_close,comex_copper_close_usd,comex_copper_volume,chile_copper_production_mt
2020-01-31,2.52,2.5495,2.5655,2.509,470.0,-0.3,6.935699939727783,2.5199999809265137,511,6031.209090909091
2020-02-29,2.54,2.5565,2.5775,2.506,130449.99999999999,-1.22,7.003499984741211,2.5460000038146973,2580,5687.75
2020-03-31,2.232,2.192,2.2365,2.18,220.0,3.31,7.099199771881104,2.240000009536743,514,5182.631818181818
2020-04-30,2.344,2.377,2.395,2.335,52270.0,-1.12,7.075399875640869,2.3540000915527344,1086,5057.972
2020-05-31,2.4345,2.426,2.441,2.426,80.0,0.54,7.145199775695801,2.426500082015991,260,5239.826315789474
2020-06-30,2.7285,2.698,2.737,2.6955,69030.0,1.34,7.079599857330322,2.713500022888184,1702,5754.595454545455
2020-07-31,2.877,2.9105,2.9105,2.8745,360.0,-1.54,7.007299900054932,2.858999967575073,631,6372.460869565217
2020-08-31,3.0555,3.0345,3.06,3.0335,150.0,1.44,6.8643999099731445,3.0409998893737797,1599,6508.392857142857
2020-09-30,3.0325,2.9955,3.0415,2.9755,81630.0,1.42,6.815400123596191,3.0285000801086426,510,6704.9
2020-10-31,3.0515,3.068,3.068,3.045,260.0,-0.28,6.714000225067139,3.0434999465942383,690,6713.811363636364
2020-11-30,3.4335,3.421,3.4915,3.421,160.0,0.63,6.576000213623047,3.4205000400543213,2921,7068.907142857143
2020-12-31,3.519,3.5445,3.5595,3.5055,42980.0,-0.85,6.522200107574463,3.513999938964844,1109,7772.238095238095
2021-01-31,3.558,3.576,3.6035,3.539,300.0,-0.61,6.448400020599365,3.573499917984009,550,7972.1475
2021-02-28,4.0925,4.2055,4.2555,4.0765,176040.0,-4.01,6.453800201416016,4.0945000648498535,2457,8470.94
2021-03-31,4.0,3.983,4.0135,3.96,310.0,0.45,6.571000099182129,4.002999782562256,289,8988.247826086958
2021-04-30,4.468,4.483,4.5305,4.446,74280.0,-0.41,6.471199989318848,4.479000091552734,1629,9324.8175
2021-05-31,4.681,4.693,4.7047,4.6525,650.0,-0.27,6.367400169372559,4.682499885559082,686,10166.285
2021-06-30,4.289,4.2575,4.335,4.2515,71400.0,0.57,6.463099956512451,4.296500205993652,1809,9631.5
2021-07-31,4.4655,4.5085,4.5085,4.4475,120.0,-0.93,6.4552998542785645,4.480500221252441,377,9450.820454545456
2021-08-31,4.37,4.374,4.38,4.337,710.0,-0.02,6.465099811553955,4.360000133514404,2262,9370.138571428572
2021-09-30,4.089,4.1775,4.208,4.0545,72320.0,-2.62,6.469600200653076,4.090000152587891,877,9324.709545454543
2021-10-31,4.359,4.4155,4.428,4.33,350.0,-1.55,6.390399932861328,4.375500202178955,716,9829.219047619048
2021-11-30,4.2805,4.357,4.3635,4.275,240.0,-1.41,6.38700008392334,4.277999877929688,2030,9728.904545454545
2021-12-31,4.4635,4.3895,4.474,4.382,36980.0,1.62,6.372099876403809,4.454999923706055,373,9551.18
2022-01-31,4.3265,4.336,4.349,4.287,170.0,0.32,6.35099983215332,4.317999839782715,882,9782.3375
2022-02-28,4.4545,4.4925,4.532,4.45,59500.0,-0.68,6.315999984741211,4.444499969482422,1803,9943.175
2022-03-31,4.752,4.7165,4.754,4.715,150.0,-0.01,6.346199989318848,4.743000030517578,708,10230.89391304348
2022-04-30,4.4085,4.444,4.512,4.3715,49490.0,-0.56,6.62529993057251,4.394999980926514,1147,10174.34761904762
2022-05-31,4.299,4.355,4.359,4.2805,590.0,-0.81,6.660299777984619,4.295000076293945,323,9395.027272727271
2022-06-30,3.71,3.772,3.795,3.6725,55880.0,-1.86,6.69980001449585,3.714499950408936,1292,9067.55181818182
2022-07-31,3.575,3.5005,3.596,3.4765,280.0,2.7,6.745800018310547,3.5840001106262207,724,7544.809523809524
2022-08-31,3.519,3.5695,3.582,3.4495,360.0,-0.86,6.910799980163574,3.5185000896453857,1607,7990.812173913043
2022-09-30,3.4125,3.427,3.4745,3.3885,75360.0,-0.16,7.123899936676025,3.441999912261963,276,7746.011363636364
2022-10-31,3.372,3.3915,3.393,3.361,450.0,-1.58,7.251399993896484,3.4135000705718994,587,7651.082857142857
2022-11-30,3.7395,3.642,3.772,3.642,430.0,2.72,7.15939998626709,3.7295000553131104,2093,8049.861363636364
2022-12-31,3.8105,3.8285,3.8515,3.7955,43080.0,-0.35,6.963099956512451,3.805500030517578,681,8371.091363636364
2023-01-31,4.2295,4.1665,4.232,4.1415,80.0,0.55,6.747799873352051,4.228499889373779,518,9007.346363636363
2023-02-28,4.0895,4.01,4.0945,3.9915,71440.0,1.96,6.943900108337402,4.097499847412109,1526,8936.587
2023-03-31,4.0985,4.107,4.118,4.027,190.0,0.07,6.870399951934815,4.104499816894531,520,8856.310869565217
2023-04-30,3.8905,3.891,3.9185,3.857,58930.0,0.17,6.922299861907959,3.869999885559082,1453,8809.1575
2023-05-31,3.6455,3.6395,3.66,3.6395,290.0,-0.65,7.078999996185303,3.63100004196167,484,8243.156086956522
2023-06-30,3.7595,3.6995,3.7705,3.6945,58630.0,1.64,7.251800060272217,3.740999937057495,1048,8396.517727272727
2023-07-31,4.014,3.955,4.02,3.955,150.0,1.99,7.102799892425537,3.994499921798706,1430,8476.679047619047
2023-08-31,3.809,3.811,3.8195,3.7935,130.0,-0.57,7.283599853515625,3.7725000381469727,2069,8347.828260869564
2023-09-30,3.7375,3.7125,3.786,3.7115,82330.0,0.8,7.299900054931641,3.7260000705718994,815,8276.71380952381
2023-10-31,3.6635,3.665,3.678,3.647,90.0,-0.27,7.312099933624268,3.641499996185303,771,7941.355909090909
2023-11-30,3.842,3.8315,3.8455,3.8045,470.0,0.68,7.07889986038208,3.828999996185303,2571,8189.587727272727
2023-12-31,3.8905,3.9165,3.9355,3.878,54670.0,-0.87,7.10699987411499,3.880500078201294,349,8407.900476190476
2024-01-31,3.917,3.921,3.9535,3.897,530.0,-0.11,7.094099998474121,3.902499914169312,750,8351.339565217391
2024-02-29,3.847,3.839,3.8685,3.834,63450.0,0.17,7.196000099182129,3.8345000743865967,2054,8304.950476190475
2024-03-31,4.0115,4.0115,4.0115,4.0115,450.0,-0.34,7.226500034332275,4.003499984741211,852,8692.819047619048
2024-04-30,4.5645,4.679,4.6945,4.54,108240.0,-2.39,7.23769998550415,4.564499855041504,2062,9445.593636363636
2024-05-31,4.6035,4.6305,4.6685,4.5795,200.0,-1.2,7.233500003814697,4.610000133514404,615,10117.16347826087
2024-06-30,4.3915,4.3355,4.428,4.3315,51670.0,0.99,7.267199993133545,4.390500068664551,1413,9648.167
2024-07-31,4.1875,4.149,4.221,4.149,150.0,2.18,7.250699996948242,4.159999847412109,637,9385.313043478262
2024-08-31,4.189,4.187,4.25,4.187,170.0,-0.23,7.0954999923706055,4.144999980926514,1365,8981.117727272727
2024-09-30,4.553,4.649,4.79,4.497,104130.0,-1.01,7.010300159454346,4.495999813079834,416,9259.128571428571
2024-10-31,4.3515,4.36,4.3875,4.347,240.0,-0.19,7.114799976348877,4.313499927520752,1249,9533.991304347826
2024-11-30,4.1225,4.124,4.146,4.1195,170.0,0.13,7.2428998947143555,4.08050012588501,1274,9075.727142857142
2024-12-31,4.0265,4.09,4.098,4.0075,42750.0,-1.62,7.298099994659424,3.986000061035156,708,8909.907727272726
2025-01-31,4.279,4.3075,4.319,4.257,48630.0,-0.66,7.180900096893311,4.26200008392334,872,8976.68043478261
2025-02-28,4.548,4.5955,4.597,4.5115,43880.0,-1.53,7.285299777984619,4.514500141143799,2731,9330.975
2025-03-31,5.034,5.13,5.146,4.985,53780.0,-1.87,7.262800216674805,5.019999980926514,720,9735.823333333334
2025-04-30,4.609,4.8625,4.8655,4.524,63220.0,-5.41,7.269000053405762,4.559999942779541,2137,9172.69590909091
2025-05-31,4.6775,4.6745,4.727,4.646,38760.0,0.04,7.203700065612793,4.652500152587891,1648,9531.200909090909
2025-06-30,5.0825,5.1245,5.1385,5.0625,24040.0,-0.79,7.172100067138672,5.03000020980835,1194,9835.068095238095
2025-07-31,4.3545,4.6395,4.652,4.3325,116940.0,-22.05,7.176400184631348,4.33050012588501,1537,9770.580434782609
2025-08-31,4.5853,4.5925,4.5925,4.5742,31300.0,-0.11,7.152999877929688,4.518499851226807,0,9671.875714285714
2025-09-30,4.8565,4.9055,4.913,4.82,38780.0,-0.73,7.119400024414063,4.804999828338623,1426,9994.773181818182
2025-10-31,5.089,5.111,5.1285,5.048,48750.0,-0.29,7.109799861907959,5.065499782562256,982,10739.91826086957
2025-11-30,5.272,5.206,5.3095,5.133,33340.0,2.02,7.075799942016602,5.185500144958496,1349,10812.028
2025-12-31,5.682,5.7535,5.7785,5.6375,33740.0,-1.72,6.996099948883057,5.630000114440918,1095,11790.96409090909
2026-01-31,5.924,6.2845,6.387,5.76,149300.0,-4.51,6.947999954223633,5.896999835968018,1981,12986.60681818182
2026-02-28,6.0595,6.029,6.141,5.9975,46170.0,0.91,6.84089994430542,6.004499912261963,3035,12951.345
2026-03-31,5.614,5.4865,5.654,5.4645,54330.0,2.04,6.911600112915039,5.587500095367432,1807,
2026-04-30,5.5503,5.624,5.6378,5.5325,10530.0,-1.7,6.894199848175049,5.624000072479248,1807,
